OBJECTID,POINTID,LAT,LON,NUTS_ID,STAT_LEVL_,CNTR_CODE,CRIME,DISP_INC,LEAVERS,EDUC,EMPL,GENDER,HEALTH,INC_EQ,MTRL,POV,PR_LVLS,TCI,WS_QoL,WS_QoLadj,EUSILC
3564,3564,55.09715560000,-7.33801488000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.122550,0.616107,6.161069,7.400000
3565,3565,55.13265320000,-7.07232176000,IE,0.000000,IE,0.414440,19403.000000,9.400000,45.400000,64.700000,37.500000,82.300000,30.800000,9.400000,31.200000,122.300000,0.123966,0.616158,6.161581,7.400000
3566,3566,55.16761260000,-6.80616989000,UKN04,3.000000,UK,0.305030,22509.000000,16.100000,41.600000,72.200000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.123643,0.628483,6.284828,7.300000
3567,3567,55.20203220000,-6.53956513000,UKN04,3.000000,UK,0.305030,22509.000000,16.100000,41.600000,72.200000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.135832,0.628924,6.289240,7.300000
3568,3568,55.23591070000,-6.27251342000,UKN04,3.000000,UK,0.305030,22509.000000,16.100000,41.600000,72.200000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.130615,0.628735,6.287352,7.300000
3569,3569,55.36598700000,-5.19995798000,UKM,1.000000,UK,0.288350,22509.000000,5.800000,42.100000,78.500000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.131161,0.658800,6.587996,7.300000
3570,3570,55.42774400000,-4.66115763000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.157665,0.649510,6.495098,7.300000
3571,3571,55.45779780000,-4.39114888000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.125040,0.648329,6.483290,7.300000
3572,3572,55.48730000000,-4.12074300000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.097124,0.647319,6.473187,7.300000
3573,3573,55.51624960000,-3.84994651000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.124164,0.648297,6.482973,7.300000
3574,3574,55.54464520000,-3.57876598000,UKM,1.000000,UK,0.288350,22509.000000,15.100000,55.600000,74.100000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.138376,0.648812,6.488117,7.300000
3575,3575,55.57248580000,-3.30720805000,UKM,1.000000,UK,0.288350,22509.000000,9.800000,58.300000,77.400000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.125149,0.666113,6.661127,7.300000
3576,3576,55.59977010000,-3.03527942000,UKM,1.000000,UK,0.288350,22509.000000,9.800000,58.300000,77.400000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.158577,0.667323,6.673225,7.300000
3577,3577,55.62649700000,-2.76298685000,UKM,1.000000,UK,0.288350,22509.000000,9.800000,58.300000,77.400000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.192880,0.668564,6.685640,7.300000
3578,3578,55.65266530000,-2.49033715000,UKM,1.000000,UK,0.288350,22509.000000,9.800000,58.300000,77.400000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.204495,0.668984,6.689844,7.300000
3579,3579,55.67827400000,-2.21733719000,UKM,1.000000,UK,0.288350,22509.000000,9.800000,58.300000,77.400000,45.700000,78.400000,31.600000,7.400000,24.100000,121.500000,0.212291,0.669267,6.692665,7.300000
3580,3580,56.22801570000,8.34332573720,DK041,3.000000,DK,0.880990,22246.000000,7.800000,41.400000,75.600000,27.200000,75.400000,27.700000,2.300000,18.100000,139.100000,0.205965,0.660504,6.605039,8.000000
3581,3581,56.23117470000,8.62412727237,DK041,3.000000,DK,0.880990,22246.000000,7.800000,41.400000,75.600000,27.200000,75.400000,27.700000,2.300000,18.100000,139.100000,0.208144,0.660583,6.605827,8.000000
3582,3582,56.23374870000,8.90496929227,DK041,3.000000,DK,0.880990,22246.000000,7.800000,41.400000,75.600000,27.200000,75.400000,27.700000,2.300000,18.100000,139.100000,0.214060,0.660797,6.607968,8.000000
3583,3583,56.23573760000,9.18584354013,DK041,3.000000,DK,0.880990,22246.000000,7.800000,41.400000,75.600000,27.200000,75.400000,27.700000,2.300000,18.100000,139.100000,0.219717,0.661002,6.610016,8.000000
